Date,Apple,Amazon,IBM
11/6/2012,75.52928095,237.56,170.4947638
11/7/2012,72.65277721,232.0608,167.8202675
11/8/2012,70.01594608,227.35,166.8896885
11/9/2012,71.22812359,226.31,166.4858524
11/12/2012,70.67737054,226.47,166.1434695
11/13/2012,70.68622426,226.6,165.3270181
11/14/2012,69.90267063,222.95,162.8601058
11/15/2012,68.43659987,220.599,163.1585934
11/16/2012,68.7045549,225.23,164.1155096
11/19/2012,73.6589887,229.71,167.1091647
11/20/2012,73.03185936,233.78,166.0995743
11/21/2012,73.13427599,238.03,167.0564904
11/23/2012,74.41025232,239.88,169.8657856
11/26/2012,76.75778836,243.62,169.3302637
11/27/2012,76.13933045,243.4017,167.8817209
11/28/2012,75.89975938,247.11,168.5401494
11/29/2012,76.73565408,251.27,168.1450923
11/30/2012,76.20443128,252.05,166.8633514
12/3/2012,76.3229148,250.3291,166.3453876
12/4/2012,74.97603064,252.4881,166.240039
12/5/2012,70.15165528,253.96,165.6167267
12/6/2012,71.2521458,253.37,166.5385266
12/7/2012,69.43003858,253.2681,168.5138123
12/10/2012,68.98356405,247.77,169.1020084
12/11/2012,70.48961974,250.69,170.4890979
12/12/2012,70.17869816,251.76,169.391717
12/13/2012,68.96652065,251.25,168.5489285
12/14/2012,66.37602829,249.19,168.3470104
12/17/2012,67.55253055,253.86,169.9799132
12/18/2012,69.51466966,260.4,171.797176
12/19/2012,68.52643902,257.99,171.2616541
12/20/2012,67.93014142,261.5,170.9895036
12/21/2012,67.61763138,256.92,169.8043322
12/24/2012,67.72674038,258.62,168.9088694
12/26/2012,66.79338974,248.6314,168.5138123
12/27/2012,67.06167027,248.31,169.1810199
12/28/2012,66.34936299,245.18,166.6526543
12/31/2012,69.28979837,250.87,168.1626504
1/2/2013,71.48462088,257.31,172.3765931
1/3/2013,70.5817895,258.48,171.428456
1/4/2013,68.61627817,259.15,170.3047379
1/7/2013,68.212653,268.4592,169.5585189
1/8/2013,68.39623735,266.38,169.3214846
1/9/2013,67.32728167,266.35,168.838637
1/10/2013,68.16187435,265.34,169.3302637
1/11/2013,67.743927,267.94,170.7085741
1/14/2013,65.32868609,272.73,169.1020084
1/15/2013,63.26759371,271.9,168.9966599
1/16/2013,65.89376132,268.93,169.0756713
1/17/2013,65.44977364,270.48,170.0062503
1/18/2013,65.10083317,272.12,170.7261322
1/22/2013,65.72189512,270.19,172.1395588
1/23/2013,66.92430751,268.11,179.7246556
1/24/2013,58.65585069,273.62,179.4612842
1/25/2013,57.27310899,283.99,179.9441318
1/28/2013,58.56861557,276.04,179.9090156
1/29/2013,59.66751764,260.35,179.0047738
1/30/2013,59.48002724,272.764,178.67117
1/31/2013,59.30555701,265.5,178.2761128
2/1/2013,59.06207989,265,180.1284918
2/4/2013,57.59028025,259.98,178.9082042
2/5/2013,59.61205173,266.89,178.0302995
2/6/2013,59.5477321,262.22,177.2226272
2/7/2013,61.30805863,260.23,176.0941575
2/8/2013,62.19320339,261.95,177.8044943
2/11/2013,62.84134932,257.21,176.4644366
2/12/2013,61.26615829,258.7,176.3586426
2/13/2013,61.14962296,269.47,176.4027235
2/14/2013,61.09462876,269.24,176.014812
2/15/2013,60.25269374,265.09,177.1873625
2/19/2013,60.23043418,269.75,176.6054953
2/20/2013,58.77177848,266.41,175.7150623
2/21/2013,58.40645986,265.94,174.8510777
2/22/2013,59.02841808,265.42,177.2843403
2/25/2013,57.97960011,259.87,174.1281519
2/26/2013,58.7874911,259.36,175.5651874
2/27/2013,58.21136138,263.25,178.3775453
2/28/2013,57.79628611,264.27,177.05512
3/1/2013,56.3651275,265.74,178.8888831
3/4/2013,55.00074757,273.11,180.8989696
3/5/2013,56.4533801,275.59,182.0803362
3/6/2013,55.73557485,273.79,183.7113275
3/7/2013,56.37979262,273.88,184.628209
3/8/2013,56.52880072,274.19,185.4745613
3/11/2013,57.33407294,271.24,185.2100762
3/12/2013,56.09801282,274.13,185.6244361
3/13/2013,56.08753773,275.1,186.9556776
3/14/2013,56.63093281,265.74,190.2529248
3/15/2013,58.09220728,261.82,189.4771019
3/18/2013,59.67132647,257.89,187.9695371
3/19/2013,59.51027203,256.41,188.1723089
3/20/2013,59.19471007,257.278,189.6005283
3/21/2013,59.27982014,253.39,187.132001
3/22/2013,60.48183624,257.75,186.97331
3/25/2013,60.70050366,256.02,185.7919433
3/26/2013,60.38048978,260.31,187.2201627
3/27/2013,59.19471007,265.3,185.9241859
3/28/2013,57.96126871,266.49,188.0488826
4/1/2013,56.16086333,261.61,187.237795
4/2/2013,56.27635115,263.322,188.9833965
4/3/2013,56.56415414,259.03,187.4846478
4/4/2013,56.00504643,259.08,186.294465
4/5/2013,55.41320408,255.48,184.6193929
4/8/2013,55.80732918,258.95,184.5400474
4/9/2013,55.90815188,261.14,184.4518857
4/10/2013,57.04862686,264.77,186.9027806
4/11/2013,56.8705504,269.85,187.7138682
4/12/2013,56.27739866,272.87,186.3561781
4/15/2013,54.97455986,267.72,184.4871503
4/16/2013,55.81125734,272.34,186.9027806
4/17/2013,52.74205719,267.4,184.8486133
4/18/2013,51.33446753,259.42,182.6269387
4/19/2013,51.1354409,260.32,167.507209
4/22/2013,52.20128088,263.55,165.5941004
4/23/2013,53.17808264,268.9,168.9266122
4/24/2013,53.09061567,268.78,169.0147739
4/25/2013,53.47269443,274.7,170.9895958
4/26/2013,54.62822733,254.81,171.3069778
4/29/2013,56.319299,249.74,175.5740036
4/30/2013,57.97698134,253.81,178.5626848
5/1/2013,57.52000572,248.23,175.9971797
5/2/2013,58.33575303,252.55,178.4304423
5/3/2013,58.91973906,258.05,180.2994701
5/6/2013,60.32470995,255.72,178.7742729
5/7/2013,60.056024,257.73,179.5236472
5/8/2013,60.73454768,258.68,181.4103074
5/9/2013,60.20817462,260.16,180.0108919
5/10/2013,59.70728563,263.63,181.1003103
5/13/2013,59.94059445,264.51,179.3288982
5/14/2013,58.50647019,268.33,179.9843207
5/15/2013,56.52795868,266.56,180.0817484
5/16/2013,57.28298292,264.12,181.2951656
5/17/2013,57.10925353,269.9,184.6165632
5/20/2013,58.3838842,267.63,183.8725701
5/21/2013,57.95285604,268.86,184.8025615
5/22/2013,58.17614708,262.96,183.3322895
5/23/2013,58.27975201,261.8,182.5971535
5/24/2013,58.67650882,261.74,182.2074428
5/28/2013,58.18735118,267.29,184.0319972
5/29/2013,58.65014624,265.53,184.1559961
5/30/2013,59.52406571,266.83,185.4314127
5/31/2013,59.28087093,269.2,184.2445667
6/3/2013,59.41070662,266.88,185.0682733
6/4/2013,59.22485045,265.7,182.6237246
6/5/2013,58.6712363,267.17,179.5680389
6/6/2013,57.79468057,267.83,180.5068873
6/7/2013,58.23638557,276.87,182.7654376
6/10/2013,57.85136011,281.07,181.5874486
6/11/2013,57.68132148,274.78,180.6663143
6/12/2013,56.96821374,271.67,178.2040516
6/13/2013,57.46580741,275.79,180.4803161
6/14/2013,56.68613415,273.99,179.0897576
6/17/2013,56.94316929,278.06,179.8337507
6/18/2013,56.91285232,281.76,181.4545927
6/19/2013,55.75685326,278.16,178.859474
6/20/2013,54.94462222,273.44,174.7940834
6/21/2013,54.50463079,273.36,173.120099
6/24/2013,53.05996149,270.61,171.4195435
6/25/2013,53.07182465,272.088,172.6949601
6/26/2013,52.47075787,277.57,172.5886754
6/27/2013,51.90528056,277.55,173.2883832
6/28/2013,52.26776601,277.69,169.2672778
7/1/2013,53.94047161,282.1,169.4178479
7/2/2013,55.16237712,283.73,169.6127032
7/3/2013,55.4668649,284.03,171.1626887
7/5/2013,55.02133733,285.88,172.6506748
7/8/2013,54.70894077,290.59,172.6949601
7/9/2013,55.67117488,291.53,169.435562
7/10/2013,55.457638,292.33,170.2769827
7/11/2013,56.32206694,299.66,170.764121
7/12/2013,56.21951651,307.55,170.1175556
7/15/2013,56.3421025,306.57,171.8269682
7/16/2013,56.70524702,306.87,171.6941123
7/17/2013,56.7204055,308.69,172.3141065
7/18/2013,56.91127057,304.11,175.3609353
7/19/2013,56.0138884,305.23,171.4195435
7/22/2013,56.19315393,303.48,171.9066818
7/23/2013,55.22828357,301.06,172.6949601
7/24/2013,58.064897,298.94,174.138661
7/25/2013,57.79995309,303.4,174.6789416
7/26/2013,58.12816719,312.01,174.7940834
7/29/2013,59.02449485,306.1,173.7843785
7/30/2013,59.75342014,302.41,173.6072373
7/31/2013,59.64928796,301.22,172.7481025
8/1/2013,60.19578421,305.57,173.4300961
8/2/2013,60.96873501,304.21,172.8543872
8/5/2013,61.87956209,300.99,173.1555273
8/6/2013,61.32594794,300.75,169.1609931
8/7/2013,61.29035846,296.91,167.8501482
8/8/2013,61.1690906,295.74,167.2893421
8/9/2013,60.2986773,297.26,167.1914236
8/12/2013,62.01164006,296.69,168.3219374
8/13/2013,64.95857289,293.97,167.7255246
8/14/2013,66.14344952,291.34,166.9332748
8/15/2013,66.0651654,286.47,165.3843818
8/16/2013,66.6516329,284.82,164.983806
8/19/2013,67.3694585,285.57,163.9957191
8/20/2013,66.48444986,287.09,164.2894747
8/21/2013,66.65561345,284.57,164.5565252
8/22/2013,66.73522442,289.73,164.8502808
8/23/2013,66.47781561,290.01,165.0550195
8/26/2013,66.73655127,286.21,164.449705
8/27/2013,64.82854163,280.93,162.6693683
8/28/2013,65.13451314,281.58,162.1530706
8/29/2013,65.24119184,283.98,162.5803514
8/30/2013,64.6462325,280.98,162.2509891
9/3/2013,64.82721478,288.8,163.7553737
9/4/2013,66.16879235,293.64,163.0165339
9/5/2013,65.71487712,294.1,163.9245057
9/6/2013,66.10629774,295.86,162.9275171
9/9/2013,67.16114312,299.71,164.6633454
9/10/2013,65.6312856,300.36,166.1054182
9/11/2013,62.05807979,299.64,169.7551085
9/12/2013,62.71885086,298.86,169.7818136
9/13/2013,61.68523507,297.92,171.063656
9/16/2013,59.72415145,296.06,171.936021
9/17/2013,60.41411321,304.17,171.0547543
9/18/2013,61.65604438,312.034,173.0665349
9/19/2013,62.66710373,312.06,172.1496614
9/20/2013,62.01827431,316.34,169.149794
9/23/2013,65.10054579,311.49,170.0132573
9/24/2013,64.89621096,314.13,169.1052856
9/25/2013,63.89178586,312.65,168.6602014
9/26/2013,64.51407829,318.12,169.3278277
9/27/2013,64.0536615,316.01,166.3902721
9/30/2013,63.25755178,312.64,164.8413791
10/1/2013,64.74495011,320.95,165.9095811
10/2/2013,64.95724604,320.51,164.6455421
10/3/2013,64.14123357,314.76,163.6663569
10/4/2013,64.09081329,319.04,163.8799973
10/7/2013,64.71708627,310.03,162.0195454
10/8/2013,63.81350173,303.23,159.0908914
10/9/2013,64.56290635,298.23,161.4053292
10/10/2013,64.96759546,305.174,164.4764101
10/11/2013,65.38873751,310.889,165.7137441
10/14/2013,65.81704454,310.7,166.4347805
10/15/2013,66.16733282,306.4,164.3784915
10/16/2013,66.49028799,310.49,166.2211401
10/17/2013,66.93955925,310.77,155.6281365
10/18/2013,67.5220462,328.931,154.6934597
10/21/2013,69.17689294,326.44,153.8745048
10/22/2013,68.97859528,332.54,155.75276
10/23/2013,69.65429341,326.756,156.4648947
10/24/2013,70.57645383,332.21,158.2719365
10/25/2013,69.78671299,363.39,157.4262766
10/28/2013,70.30657264,358.16,157.8713607
10/29/2013,68.55539662,362.7,162.1174639
10/30/2013,69.64580157,361.08,160.3638322
10/31/2013,69.35469078,364.03,159.5270739
11/1/2013,69.00015658,359.002,159.5448773
11/4/2013,69.89179947,358.74,160.4706524
11/5/2013,69.71917635,358.892,158.3164449
11/6/2013,69.5229353,356.18,160.3549305
11/7/2013,68.39811902,343.56,161.0797896
11/8/2013,69.47488904,350.31,161.0708407
11/11/2013,69.27309476,354.378,163.6570662
11/12/2013,69.40148504,349.53,163.8270949
11/13/2013,69.48476522,356.22,164.256641
11/14/2013,70.48919893,367.396,163.0574914
11/15/2013,70.0662584,369.17,163.9344814
11/18/2013,69.21717425,366.18,165.0799377
11/19/2013,69.3400926,364.94,165.7779501
11/20/2013,68.73284128,362.57,165.7242568
11/21/2013,69.55176306,368.92,164.7756758
11/22/2013,69.37345805,372.31,162.2431436
11/25/2013,69.89929765,376.64,160.1312086
11/26/2013,71.18853891,381.37,158.6725416
11/27/2013,72.86481947,386.71,160.1580552
11/29/2013,74.21411855,393.62,160.7934255
12/2/2013,73.5681633,392.3,158.8246725
12/3/2013,75.5823692,384.66,157.5718297
12/4/2013,75.40593267,385.96,157.2675679
12/5/2013,75.79310543,384.49,157.5718297
12/6/2013,74.74129276,386.95,158.9947012
12/9/2013,75.59678308,384.89,158.8067748
12/10/2013,75.47933667,387.78,158.5025129
12/11/2013,74.92013161,382.19,156.7843285
12/12/2013,74.81069292,381.25,155.146684
12/13/2013,73.99524115,384.24,154.636598
12/16/2013,74.40496896,388.97,159.155781
12/17/2013,74.06997977,387.65,157.2854656
12/18/2013,73.50677086,395.96,159.9164355
12/19/2013,72.66462673,395.19,161.2766649
12/20/2013,73.27321266,402.2,161.0976873
12/23/2013,76.08525337,402.92,163.0753892
12/24/2013,75.76227575,399.2,163.961328
12/26/2013,75.25912466,404.39,165.8674389
12/27/2013,74.75063509,398.08,165.6258192
12/30/2013,74.00725271,393.37,166.8160198
12/31/2013,74.87475459,398.79,167.8540896
1/2/2014,73.82174077,397.97,166.0285187
1/3/2014,72.20017957,396.44,167.021844
1/6/2014,72.59389196,393.63,166.4491159
1/7/2014,72.07439179,398.03,169.7691493
1/8/2014,72.5311649,401.92,168.2120447
1/9/2014,71.60480635,401.01,167.6840609
1/10/2014,71.12714647,397.66,167.5766744
1/13/2014,71.49950497,390.98,164.8025225
1/14/2014,72.92220805,397.54,166.3775249
1/15/2014,74.3862843,395.87,168.0062205
1/16/2014,73.97121802,395.8,168.919006
1/17/2014,72.1588064,399.61,170.1092067
1/21/2014,73.27988575,407.05,168.623693
1/22/2014,73.60553261,404.54,163.0932869
1/23/2014,74.22879935,399.87,163.522833
1/24/2014,72.87950027,387.6,160.75763
1/27/2014,73.47073617,386.28,159.2005253
1/28/2014,67.59841574,394.43,158.2608932
1/29/2014,66.83101024,384.2,157.8581938
1/30/2014,66.70181919,403.01,158.717286
1/31/2014,66.81099096,358.69,158.1087623
2/3/2014,66.93511046,346.15,154.7260867
2/4/2014,67.90404333,347.95,154.6723935
2/5/2014,68.41119828,346.45,155.9252363
2/6/2014,68.8075799,354.59,157.1601813
2/7/2014,69.77019595,361.08,159.4815489
2/10/2014,71.02011998,360.87,159.3825759
2/11/2014,71.95588481,361.79,161.6859483
2/12/2014,71.95051457,349.25,162.1718159
2/13/2014,73.09303375,357.2,163.6114237
2/14/2014,73.03396108,357.35,165.2759702
2/18/2014,73.30247322,353.65,164.8260928
